passage_id,question,passage
2000_1319.txt_Art. 94,Kto jest stroną postępowania?,"Art. 94. 1. Stroną postępowania jest każdy, kto zgłasza, zgodnie z ust. 2, zamiar koncentracji. 2. Zgłoszenia zamiaru koncentracji dokonują: 1) wspólnie łączący się przedsiębiorcy "" w przypadku, o którym mowa w art. 12 ust. 2 pkt 1, 2) przedsiębiorca przejmujący kontrolę "" w przypadku, o którym mowa w art. 12 ust. 2 pkt 2, 3) wspólnie wszyscy przedsiębiorcy biorący udział w utworzeniu wspólnego przedsiębiorcy "" w przypadku, o którym mowa w art. 12 ust. 2 pkt 3, 4) obejmujący lub nabywający akcje albo udziały "" w przypadku, o którym mowa w art. 12 ust. 3 pkt 1, 5) przedsiębiorca, w którego organie zarządzającym lub kontrolnym obejmuje funkcję członka osoba pełniąca już funkcję członka w organie zarządzającym lub kontrolnym innego przedsiębiorcy "" w przypadku, o którym mowa w art. 12 ust. 3 pkt 2, 6) odpowiednio instytucja finansowa albo przedsiębiorca, który nabył akcje lub udziały w celu zabezpieczenia wierzytelności "" w przypadku, o którym mowa w art. 12 ust. 3 pkt 3. 3. W przypadku, gdy koncentracji dokonuje przedsiębiorca dominujący za pośrednictwem co najmniej dwóch przedsiębiorców zależnych, zgłoszenia zamiaru tej koncentracji dokonuje przedsiębiorca dominujący. 4. Zgłoszenia, o którym mowa w ust. 1, należy dokonać w terminie 7 dni od dnia zawarcia umowy lub dokonania innej czynności, na podstawie której ma nastąpić koncentracja. 5. Rada Ministrów określi, w drodze rozporządzenia, szczegółowe warunki, jakim powinno odpowiadać zgłoszenie zamiaru koncentracji, w tym wykaz informacji i dokumentów, które powinno ono zawierać, uwzględniając specyfikę działalności prowadzonej przez różne rodzaje przedsiębiorców, w szczególności przez instytucje finansowe. "
1997_117.txt_Art. 43,Kiedy organ celny może odstąpić od wymogu składania deklaracji skróconej?,"Art. 43. Organ celny może odstąpić od wymogu składania deklaracji skróconej pod warunkiem, że nie ogranicza to możliwości sprawowania dozoru celnego, jeżeli przed upływem terminu, o którym mowa w art. 41 § 2, zostały spełnione formalności niezbędne do nadania towarom przeznaczenia celnego. Dział III Rozładunek towarów i nadanie im przeznaczenia celnego "
2004_42.txt_Art. 24,Do kogo można się odwołać od decyzji o ustaleniu lokalizacji Euro 2012?," Art. 24. 1. Decyzja o ustaleniu lokalizacji przedsięwzięcia Euro 2012 zawiera w szczególności: 1) linie rozgraniczające teren; 2) zatwierdzenie podziału nieruchomości; 3) warunki techniczne realizacji; 4) warunki wynikające z potrzeb ochrony środowiska i ochrony zabytków; 5) wymagania dotyczące ochrony interesów osób trzecich. 2. Wojewoda doręcza decyzję o ustaleniu lokalizacji przedsięwzięcia Euro 2012 wnioskodawcy oraz zawiadamia o jej wydaniu i treści pozostałe strony w drodze obwieszczeń w urzędach gmin i w prasie lokalnej oraz na stronach internetowych urzędu wojewódzkiego oraz urzędu gminy właściwego dla lokalizacji przedsięwzięcia Euro 2012. 3. Od decyzji wojewody o ustaleniu lokalizacji przedsięwzięcia Euro 2012 stronie przysługuje odwołanie do ministra właściwego do spraw budownictwa, gospodarki przestrzennej i mieszkaniowej. "
1994_369.txt_Art. 16,Spośród kogo jest wybierana rada zrzeszenia banków spółdzielczych?,"Art. 16. 1. Prezesi zarządów banków spółdzielczych zrzeszonych w banku regionalnym wybierają spośród siebie radę zrzeszenia, o charakterze opiniodawczo-doradczym, której przewodniczy prezes zarządu banku regionalnego. 2. Szczegółowy zakres kompetencji, tryb powoływania, odwoływania i funkcjonowania rady określa umowa zrzeszenia oraz statut banku regionalnego. "
1999_1063.txt_Art. 12,Jaki artykuł stosowany jest do szkód wyrządzonych przez wojska obce?,Art. 12. Do szkód wyrządzonych przez wojska obce albo żołnierzy wojsk obcych lub ich personel cywilny żołnierzom lub pracownikom cywilnym Sił Zbrojnych Rzeczypospolitej Polskiej stosuje się odpowiednio art. 11 ust. 1. 
1997_557.txt_Art. 146,Jaką karę daje się za więcej niż jedno wykroczenie,"Art. 146. § 1. Za jedno przekroczenie wymierza się tylko jedną karę dyscyplinarną. W wypadku, gdy skazany popełnił więcej przekroczeń zanim został ukarany za którekolwiek z nich, wymierza się jedną karę, odpowiednio surowszą. § 2. Ponowne wymierzenie kary dyscyplinarnej nie może nastąpić w taki sposób, aby była ona bezpośrednio przedłużeniem odbywania takiej samej kary, chyba że łączny okres trwania wymierzonych kar nie przekracza przewidzianej granicy czasu trwania tej kary. § 3. W wypadkach uzasadnionych względami wychowawczymi można odstąpić od ukarania dyscyplinarnego, wykonanie wymierzonej kary zawiesić na okres do 3 miesięcy, zamienić ją na inną mniej dolegliwą lub karę darować. Po upływie okresu zawieszenia wymierzoną karę uważa się za wykonaną. "
1997_349.txt_Art. 175,Kto ustala prawa i obowiązki rzeczników dyscypliny finansów publicznych?,"Art. 175. Rada Ministrów określa, w drodze rozporządzenia, szczegółowe zasady powoływania i odwoływania oraz ustalania właściwości rzeczników dyscypliny finansów publicznych, ich prawa i obowiązki oraz tryb działania, a w szczególności: 1) sposób prowadzenia postępowania, o którym mowa w art. 165 ust. 2, 2) terminy wnoszenia wniosków o ukaranie, 3) warunki odmowy wniesienia wniosku o ukaranie oraz postępowania w przypadkach zaskarżenia postanowienia o odmowie wniesienia wniosku o ukaranie, 4) warunki i zasady wypłacania oraz wysokość ryczałtowego wynagrodzenia miesięcznego oraz wynagrodzenia za udział w rozprawie lub posiedzeniu należnych rzecznikowi dyscypliny finansów publicznych lub jego zastępcy. "
1994_591.txt_Art. 54,Co należy zrobić jeśli jednostka otrzymała informacje o zdarzeniach dotyczących lat ubiegłych?,"Art. 54. 1. Jeżeli po sporządzeniu rocznego sprawozdania finansowego jednostka otrzymała informacje o zdarzeniach mających istotny wpływ na treść jeszcze nie zatwierdzonego sprawozdania finansowego, to powinna ona sprawozdanie to odpowiednio zmienić, dokonując jednocześnie odpowiednich zapisów w księgach rachunkowych roku obrotowego, którego sprawozdanie finansowe dotyczy, oraz powiadomić o tym biegłego rewidenta, który sprawozdanie to bada lub badał. 2. Jeżeli po zatwierdzeniu rocznego sprawozdania finansowego jednostka otrzymała informacje o zdarzeniach dotyczących lat ubiegłych, to ujmuje je odpowiednio w księgach rachunkowych roku obrotowego, w którym informacje te otrzymała. Rozdział 6 Sprawozdania finansowe grupy kapitałowej "
2004_898.txt_Art. 16,Co zalicza się do okresu przestawiania gospodarstwa rolnego na produkcję metodami ekologicznymi?,"Art. 16. 1. Producenci, którzy w dniu wejścia w życie niniejszej ustawy wytwarzają produkty rolnictwa ekologicznego i posiadają ważny certyfikat zgodności wydany przez upoważnione jednostki certyfikujące na podstawie przepisów dotychczasowych, mogą wprowadzać te produkty do obrotu jako produkty rolnictwa ekologicznego do dnia upływu ważności tego certyfikatu. 2. Produkt wprowadzony do obrotu przed dniem wejścia w życie niniejszej ustawy, oznakowany jako produkt rolnictwa ekologicznego na podstawie przepisów dotychczasowych, może znajdować się w obrocie do dnia upływu terminu jego ważności. 3. Do okresu przestawiania gospodarstwa rolnego na produkcję metodami ekologicznymi zalicza się udokumentowany okres przestawiania gospodarstwa rolnego na produkcję metodami ekologicznymi rozpoczęty przed dniem wejścia w życie niniejszej ustawy. 4. Upoważnienia wydane jednostkom certyfikującym oraz nadane im numery identyfikacyjne na podstawie przepisów dotychczasowych zachowują ważność do dnia 31 grudnia 2004 r. "
2000_1319.txt_Art. 98,Do kiedy przedsiębiorcy muszą wstrzymać się od dokonania koncentracji?,"Art. 98. 1. Przedsiębiorcy, których zamiar koncentracji podlega zgłoszeniu, są obowiązani do wstrzymania się od dokonania koncentracji do czasu wydania przez Prezesa Urzędu decyzji lub upływu terminu, w jakim decyzja powinna zostać wydana. 2. Czynność prawna, na podstawie której ma nastąpić koncentracja, może być dokonana pod warunkiem wydania przez Prezesa Urzędu, w drodze decyzji, zgody na dokonanie koncentracji lub upływu terminów, o których mowa w art. 97. 3. Nie stanowi naruszenia obowiązku, o którym mowa w ust. 1, realizacja publicznej oferty kupna lub zamiany akcji, zgłoszonej Prezesowi Urzędu w trybie art. 12 ust. 1, jeżeli nabywca nie korzysta z prawa głosu wynikającego z nabytych akcji lub czyni to wyłącznie w celu utrzymania pełnej wartości swej inwestycji kapitałowej lub dla zapobieżenia poważnej szkodzie, jaka może powstać u przedsiębiorców uczestniczących w koncentracji. "
1994_592.txt_Art. 31,Jakie obowiązki. zyskali komendanci komisariatów w 1999 roku?,"Art. 31. 1. Z dniem 1 stycznia 1999 r. dotychczasowi komendanci komisariatów i komisariatów specjalistycznych Policji stają się pełniącymi obowiązki odpowiednio: 1) komendanta powiatowego (miejskiego) Policji, w przypadku określonym w art. 30 ust. 3 pkt 1, 2) komendanta komisariatu Policji, 3) komendanta komisariatu specjalistycznego Policji. 2. Z dniem 1 stycznia 1999 r. komendanci rejonowi będący pełnomocnikami, o których mowa w art. 30 ust. 4, stają się pełniącymi obowiązki odpowiednio komendanta miejskiego lub powiatowego Policji. 3. Pełnienie obowiązków komendantów Policji, o których mowa w ust. 1 i 2, trwa nie dłużej niż do dnia 31 grudnia 1999 r. 4. Przepisy ust. 1 i 3 stosuje się odpowiednio do zastępców komendantów komisariatów Policji. "
2001_627.txt_Art. 45,Kto jest odpowiedzialny za uzgadnianie zakresu i szczegółowości wymaganych informacji w prognozie oddziaływania na środowisko?,"Art. 45. Jeżeli postępowanie w sprawie oceny oddziaływania na środowisko przeprowadza centralny organ administracji rządowej, organem administracji właściwym do uzgadniania zakresu i szczegółowości wymaganych informacji w prognozie oddziaływania na środowisko oraz opiniowania projektów, o których mowa w art. 40, jest Główny Inspektor Sanitarny. Rozdział 2 Postępowanie w sprawie oceny oddziaływania na środowisko planowanych przedsięwzięć "
2004_2390.txt_Art. 13,Jaka jest maksymalna wysokość wsparcia finansowego przy produkcji utworu audiowizualnego?,"Art. 13. 1. Wysokość wsparcia finansowego wraz z innymi źródłami pomocy publicznej nie może przekroczyć łącznie 50% całości kosztów produkcji utworu audiowizualnego. 2. Wysokość wsparcia finansowego wraz z innymi źródłami pomocy publicznej przyznanymi na produkcję utworu audiowizualnego nie może przekroczyć łącznie 70% całości kosztów produkcji utworu audiowizualnego w przypadku produkcji trudnego utworu audiowizualnego, który ma ograniczone walory komercyjne przez to, że: 1) jest skierowany do widowni w wieku do 12 lat lub 2) w swoim założeniu promuje polskie dziedzictwo historyczne lub kulturowe na świecie i jednocześnie polskie koszty kwalifikowalne jego produkcji audiowizualnej przekraczają co najmniej dwukrotnie minimalne wartości polskich kosztów kwalifikowalnych uprawniających do wystąpienia z wnioskiem. 3. Wysokość wsparcia finansowego wraz z innymi źródłami pomocy publicznej przyznanymi na produkcję utworu audiowizualnego nie może przekroczyć łącznie 60% całości kosztów produkcji audiowizualnej w przypadku koprodukcji międzynarodowej utworu audiowizualnego, w której jednym z państw pochodzenia producentów utworu audiowizualnego lub koproducentów utworu audiowizualnego jest Rzeczpospolita Polska, a pozostali producenci utworu audiowizualnego lub koproducenci utworu audiowizualnego pochodzą z innych państw członkowskich Unii Europejskiej lub z państw członkowskich Europejskiego Porozumienia o Wolnym Handlu (EFTA) – stron umowy o Europejskim Obszarze Gospodarczym. Limit ten nie dotyczy utworu trudnego, o którym mowa w ust. 2. 4. Za koszty produkcji określone w ust. 1–3 uznaje się koszty mieszczące się w katalogu określonym w art. 54 ust. 5 rozporządzenia nr 651/2014. "
2001_811.txt_Art. 5,Co jest wymagane oprócz zgody na zamknięte użycie GMO?,"Art. 5. 1. Uzyskanie zgody na zamknięte użycie GMO lub na zamierzone uwolnienie GMO do środowiska oraz zezwolenia na wprowadzenie do obrotu produktów GMO nie zwalnia od obowiązku uzyskania zezwoleń lub innych decyzji związanych z podejmowaniem takich działań, wymaganych na podstawie odrębnych przepisów. 2. Za wydanie zgód i zezwoleń, o których mowa w rozdziałach 3-6 ustawy, pobiera się opłatę skarbową. "
2000_1099.txt_Art. 53,Czy maklerzy giełd towarowych są zobowiązani do zachowania tajemnicy zawodowej?,"Art. 53. 1. Do zachowania tajemnicy zawodowej są obowiązani: 1) Przewodniczący Komisji, jego zastępcy, członkowie Komisji, pracownicy urzędu Komisji i osoby uczestniczące w posiedzeniach Komisji z głosem doradczym, 2) maklerzy giełd towarowych, 3) osoby wchodzące w skład statutowych organów: a) towarowego domu maklerskiego, b) spółki prowadzącej giełdę oraz spółki prowadzącej giełdową izbę rozrachunkową, c) izby, d) stowarzyszeń maklerów giełd towarowych, 4) osoby zatrudnione w podmiotach wymienionych w pkt 1 i 3, oraz pozostające z tymi podmiotami w stosunku zlecenia lub w innym stosunku prawnym o podobnym charakterze. 2. Obowiązek zachowania tajemnicy zawodowej istnieje również po ustaniu stosunków prawnych, o których mowa w ust. 1 pkt 1, 3 i 4. "
2001_18.txt_Art. 65,Kto może być inspektorem dozoru jądrowego?,"Art. 65. 1. Inspektorem dozoru jądrowego może być osoba, która: 1) posiada wykształcenie wyższe w zakresie fizyki, chemii, kierunków technicznych lub innych w specjalnościach przydatnych w dozorze jądrowym, 2) nie była karana za przestępstwa umyślne, 3) odbyła praktykę i zdała egzamin kwalifikacyjny na stanowisko inspektora dozoru jądrowego w zakresie bezpieczeństwa jądrowego i ochrony radiologicznej przed komisją powołaną przez Prezesa Agencji, 4) posiada orzeczenie lekarskie o braku przeciwwskazań do pracy w warunkach narażenia. 2. Koszty związane z pracą komisji, o której mowa w ust. 1 pkt 3, pokrywane są z budżetu Państwowej Agencji Atomistyki. "
2004_2776.txt_Art. 10,Co należy do zadań żłobka i klubu dziecięcego?," Art. 10. Do zadań żłobka i klubu dziecięcego należy w szczególności: 1) zapewnienie dziecku opieki w warunkach bytowych zbliżonych do warunków domowych; 2) zagwarantowanie dziecku właściwej opieki pielęgnacyjnej oraz edukacyjnej, przez prowadzenie zajęć zabawowych z elementami edukacji, z uwzględnieniem indywidualnych potrzeb dziecka; 3) prowadzenie zajęć opiekuńczo-wychowawczych i edukacyjnych, uwzględniających rozwój psychomotoryczny dziecka, właściwych do wieku dziecka. "
1996_402.txt_Art. 10,Kiedy wygasa członkostwo w Radzie Służby Cywilnej?,"Art. 10. 1. Członkostwo w Radzie Służby Cywilnej wygasa: 1) w razie śmierci, 2) jeżeli członek Rady przestał odpowiadać jednemu z warunków określonych w art. 4 pkt 1-3. 2. Prezes Rady Ministrów odwołuje członka Rady Służby Cywilnej, na wniosek Rady, w razie: 1) niewykonywania obowiązków członka Rady, 2) choroby uniemożliwiającej sprawowanie funkcji członka Rady, 3) rażącego naruszenia przepisów ustawy. 3. Prezes Rady Ministrów odwołuje członka Rady również w razie złożenia przez członka Rady rezygnacji. 4. W przypadku wygaśnięcia członkostwa w Radzie lub odwołania członka Rady przed upływem kadencji, na okres do końca tej kadencji Prezes Rady Ministrów powołuje nowego członka Rady. "
2001_1229.txt_Art. 172,Jakie organy należą do spółki wodnej?,"Art. 172. 1. Organami spółki wodnej są: 1) walne zgromadzenie, 2) zarząd, 3) komisja rewizyjna, o ile spółka liczy więcej niż dziesięciu członków. 2. Statut może określać inne organy spółki, niż wymienione w ust. 1, oraz określać warunki, przy których walne zgromadzenie złożone z członków spółki zostaje zastąpione przez walne zgromadzenie delegatów. "
1995_436.txt_Art. 68,Kto prowadzi rejestr związków?,"Art. 68. 1. Rejestr związków prowadzi minister właściwy do spraw administracji publicznej. 2. Związek nabywa osobowość prawną po zarejestrowaniu, z dniem ogłoszenia statutu. 3. Na decyzję o odmowie wpisania do rejestru przysługuje skarga do sądu administracyjnego. 4. Minister właściwy do spraw administracji publicznej określi, w drodze rozporządzenia, zasady i tryb prowadzenia rejestru związków powiatów oraz ogłaszania statutów związków. "
